.draw,param,value
41,sv_lMTRUE,0.8653216808
41,B_lRnovel,2.292681364866666
41,B_lRlearned,1.9273795879666664
41,A,1.9773201010333332
41,t0,0.17200969253333334
42,v_Snovel_lMTRUE,3.496045289
42,v_Snovel_lMFALSE,2.3448846122333333
42,v_Slearned_lMTRUE,3.082166202933333
42,v_Slearned_lMFALSE,2.9413529177
42,sv_lMTRUE,0.8731240976
42,B_lRnovel,2.2326894230333334
42,B_lRlearned,1.8763002666333333
42,A,1.9179603304
42,t0,0.17923673923333333
43,v_Snovel_lMTRUE,3.512266348033333
43,v_Snovel_lMFALSE,2.3707729344
43,v_Slearned_lMTRUE,3.1028862935333335
43,v_Slearned_lMFALSE,2.9412020164
43,sv_lMTRUE,0.8688265191333333
43,B_lRnovel,2.1805710915
43,B_lRlearned,1.8488749741333332
43,A,1.9695618927333336
43,t0,0.18775056893333333
44,v_Snovel_lMTRUE,3.5440352044
44,v_Snovel_lMFALSE,2.3940282500666665
44,v_Slearned_lMTRUE,3.122156366233334
44,v_Slearned_lMFALSE,2.984800668566667
44,sv_lMTRUE,0.8846914504333333
44,B_lRnovel,2.2280940180333335
44,B_lRlearned,1.871004728533333
44,A,1.9866822346333333
44,t0,0.18231669826666663
45,v_Snovel_lMTRUE,3.5452735912333333
45,v_Snovel_lMFALSE,2.3589748652
45,v_Slearned_lMTRUE,3.0824675427666666
45,v_Slearned_lMFALSE,2.9949576977666665
45,sv_lMTRUE,0.8869075326
45,B_lRnovel,2.2001519013666666
45,B_lRlearned,1.8296359372333333
45,A,1.9483011885
45,t0,0.1920266087
46,v_Snovel_lMTRUE,3.4454455375333333
46,v_Snovel_lMFALSE,2.2969633228333333
46,v_Slearned_lMTRUE,3.0355979072333334
46,v_Slearned_lMFALSE,2.8982090908
46,sv_lMTRUE,0.8737316457666666
46,B_lRnovel,2.1888726939
46,B_lRlearned,1.8507606959666667
46,A,1.8492413506333336
46,t0,0.18642463413333332
47,v_Snovel_lMTRUE,3.474832862066666
47,v_Snovel_lMFALSE,2.347188887066667
47,v_Slearned_lMTRUE,3.0779027802333334
47,v_Slearned_lMFALSE,2.9214282973
47,sv_lMTRUE,0.8699498678333333
47,B_lRnovel,2.2006921980666667
47,B_lRlearned,1.8528535208
47,A,1.8863991435
47,t0,0.18557063583333333
48,v_Snovel_lMTRUE,3.4282470859666665
48,v_Snovel_lMFALSE,2.3116467586333336
48,v_Slearned_lMTRUE,3.0379762895333333
48,v_Slearned_lMFALSE,2.877286038333333
48,sv_lMTRUE,0.8693361767333333
48,B_lRnovel,2.1715490104333335
48,B_lRlearned,1.8351382387666664
48,A,1.8951035384666663
48,t0,0.18524914253333333
49,v_Snovel_lMTRUE,3.4618701085
49,v_Snovel_lMFALSE,2.3387719839333334
49,v_Slearned_lMTRUE,3.0763517362333332
49,v_Slearned_lMFALSE,2.9123219681666668
49,sv_lMTRUE,0.8686168944
49,B_lRnovel,2.1648187548333335
49,B_lRlearned,1.8405273015666668
49,A,1.9383238067666668
49,t0,0.18808151066666667
50,v_Snovel_lMTRUE,3.4248735267333332
50,v_Snovel_lMFALSE,2.3431722387
