pid,task,stim,keypress,acc,rt,Sex,Age
004,car,noise,3,1,2.6554,Female,45
004,car,noise,1,0,2.3566,Female,45
004,car,noise,2,1,3.1751,Female,45
004,car,noise,2,1,1.6449,Female,45
004,car,noise,3,0,2.1162,Female,45
004,car,noise,2,1,8.3742,Female,45
004,car,noise,1,0,2.1939,Female,45
004,car,noise,1,0,1.343,Female,45
004,car,noise,3,0,2.9597,Female,45
004,car,noise,3,1,2.4599,Female,45
006,car,no_noise,3,0,18.2098,Male,50
006,car,no_noise,1,1,10.5745,Male,50
006,car,no_noise,3,0,2.3917,Male,50
006,car,no_noise,3,1,11.0615,Male,50
006,car,no_noise,2,1,6.7655,Male,50
006,car,no_noise,3,0,8.5481,Male,50
006,car,no_noise,3,1,7.3872,Male,50
006,car,no_noise,1,1,2.6027,Male,50
006,car,no_noise,1,1,5.6489,Male,50
006,car,no_noise,3,1,5.3812,Male,50
006,car,no_noise,3,1,7.5817,Male,50
006,car,no_noise,3,1,6.3628,Male,50
006,car,no_noise,3,0,6.2308,Male,50
006,car,no_noise,2,1,7.015,Male,50
006,car,no_noise,3,1,3.5153,Male,50
006,car,no_noise,2,1,6.0254,Male,50
006,car,no_noise,3,0,12.7638,Male,50
006,car,no_noise,1,1,2.7069,Male,50
006,car,no_noise,3,0,6.907,Male,50
006,car,no_noise,1,1,4.0049,Male,50
006,car,no_noise,1,1,10.7792,Male,50
006,car,no_noise,1,1,8.3816,Male,50
006,car,no_noise,2,0,2.8988,Male,50
006,car,no_noise,2,1,1.3507,Male,50
006,car,no_noise,2,1,6.7513,Male,50
006,car,no_noise,2,0,5.1662,Male,50
006,car,no_noise,2,1,7.2666,Male,50
006,car,no_noise,2,1,3.682,Male,50
006,car,no_noise,1,1,2.9221,Male,50
006,car,no_noise,1,1,5.1816,Male,50
006,car,noise,2,1,7.5453,Male,50
006,car,noise,3,1,3.9973,Male,50
006,car,noise,3,1,2.9758,Male,50
006,car,noise,2,0,6.8411,Male,50
006,car,noise,3,0,2.3272,Male,50
006,car,noise,2,1,9.6252,Male,50
006,car,noise,1,1,4.5242000000000004,Male,50
006,car,noise,1,1,2.4944,Male,50
006,car,noise,2,1,3.2557,Male,50
006,car,noise,1,1,4.0143,Male,50
006,car,noise,2,0,3.8626,Male,50
006,car,noise,1,0,2.5946,Male,50
006,car,noise,2,1,10.9102,Male,50
006,car,noise,1,0,4.2288,Male,50
006,car,noise,3,1,6.3608,Male,50
006,car,noise,2,1,7.4604,Male,50
006,car,noise,1,0,6.7985,Male,50
006,car,noise,2,1,2.9427,Male,50
006,car,noise,2,1,1.2308,Male,50
006,car,noise,2,1,4.2936,Male,50
006,car,noise,3,1,1.3006,Male,50
006,car,noise,1,0,14.6759,Male,50
006,car,noise,1,1,5.0303,Male,50
006,car,noise,3,1,8.3285,Male,50
006,face,no_noise,1,1,4.0565,Male,50
006,face,no_noise,2,1,3.4521,Male,50
006,face,no_noise,3,0,2.8623,Male,50
006,face,no_noise,2,0,2.1848,Male,50
006,face,no_noise,1,0,4.8015,Male,50
006,face,no_noise,3,0,3.717,Male,50
006,face,no_noise,2,0,2.557,Male,50
006,face,no_noise,3,1,2.7357,Male,50
006,face,no_noise,2,1,1.5444,Male,50
006,face,no_noise,3,1,2.7018,Male,50
006,face,no_noise,2,1,3.8652,Male,50
006,face,no_noise,3,1,3.2503,Male,50
006,face,no_noise,3,0,3.9042,Male,50
006,face,no_noise,2,0,2.8346,Male,50
006,face,no_noise,2,1,6.3361,Male,50
006,face,no_noise,2,1,6.3909,Male,50
006,face,no_noise,2,1,2.4523,Male,50
006,face,no_noise,2,1,2.6014,Male,50
006,face,no_noise,2,0,4.2099,Male,50
006,face,no_noise,3,1,1.465,Male,50
006,face,no_noise,1,1,2.2357,Male,50
006,face,no_noise,2,1,2.4513,Male,50
006,face,no_noise,2,1,3.2362,Male,50
006,face,no_noise,1,1,4.3042,Male,50
006,face,no_noise,3,1,2.5683,Male,50
006,face,no_noise,1,1,3.3024,Male,50
006,face,no_noise,3,0,5.7036,Male,50
006,face,no_noise,2,0,2.6852,Male,50
006,face,no_noise,1,1,6.5678,Male,50
006,face,no_noise,3,1,1.618,Male,50
006,face,noise,2,1,2.4911,Male,50
006,face,noise,3,1,3.3629,Male,50
006,face,noise,3,0,3.6946,Male,50
006,face,noise,1,1,2.6191,Male,50
006,face,noise,3,1,2.511,Male,50
006,face,noise,1,1,2.2844,Male,50
006,face,noise,3,0,4.5839,Male,50
006,face,noise,2,0,2.6943,Male,50
006,face,noise,1,0,2.9448,Male,50
006,face,noise,2,1,3.1446,Male,50
006,face,noise,3,0,2.2959,Male,50
006,face,noise,1,0,6.3281,Male,50
006,face,noise,3,0,3.1121,Male,50
006,face,noise,2,1,1.311,Male,50
006,face,noise,3,0,7.862,Male,50
006,face,noise,3,0,2.2118,Male,50
006,face,noise,2,0,6.0143,Male,50
006,face,noise,3,0,2.3134,Male,50
006,face,noise,3,1,3.5685,Male,50
006,face,noise,3,0,1.4531,Male,50
006,face,noise,3,0,7.0787,Male,50
006,face,noise,3,0,4.1444,Male,50
006,face,noise,3,0,3.2618,Male,50
006,face,noise,1,0,3.2948,Male,50
007,car,no_noise,2,1,4.7669,Female,39
007,car,no_noise,1,1,3.3534,Female,39
007,car,no_noise,3,0,3.0151,Female,39
007,car,no_noise,2,0,2.4535,Female,39
007,car,no_noise,2,1,3.497900001,Female,39
007,car,no_noise,1,1,3.749900001,Female,39
007,car,no_noise,3,1,3.080900001,Female,39
007,car,no_noise,1,1,2.2119,Female,39
007,car,no_noise,1,1,2.571099999,Female,39
007,car,no_noise,1,0,4.047,Female,39
007,car,no_noise,3,1,2.2156,Female,39
007,car,no_noise,3,1,2.588,Female,39
007,car,no_noise,2,1,3.3869,Female,39
007,car,no_noise,2,1,3.4553,Female,39
007,car,no_noise,3,1,4.149,Female,39
007,car,no_noise,2,1,4.1047,Female,39
007,car,no_noise,1,1,3.8355,Female,39
007,car,no_noise,2,0,3.322400001,Female,39
007,car,no_noise,2,1,4.767,Female,39
007,car,no_noise,3,0,3.9911,Female,39
007,car,no_noise,3,0,3.206599999,Female,39
007,car,no_noise,1,1,2.7425,Female,39
007,car,no_noise,2,0,3.467099999,Female,39
007,car,no_noise,3,0,4.1435,Female,39
007,car,no_noise,3,0,5.1205,Female,39
007,car,no_noise,2,0,2.9596,Female,39
007,car,no_noise,2,1,2.7225,Female,39
007,car,no_noise,2,1,3.0084,Female,39
007,car,no_noise,3,0,2.2814,Female,39
007,car,no_noise,3,0,4.8852,Female,39
007,car,noise,1,0,3.716799999,Female,39
007,car,noise,3,1,1.7936,Female,39
007,car,noise,2,0,4.2298,Female,39
007,car,noise,1,1,1.830299999,Female,39
007,car,noise,1,0,2.8652,Female,39
007,car,noise,2,1,2.4474,Female,39
007,car,noise,3,0,3.0003,Female,39
007,car,noise,1,1,2.7095,Female,39
007,car,noise,2,1,1.954,Female,39
007,car,noise,1,1,3.127599999,Female,39
007,car,noise,1,1,3.325,Female,39
007,car,noise,2,0,4.9816,Female,39
007,car,noise,2,1,5.09,Female,39
007,car,noise,3,1,7.5315,Female,39
007,car,noise,3,1,2.7723,Female,39
007,car,noise,2,1,2.5907,Female,39
007,car,noise,2,1,3.4066,Female,39
007,car,noise,2,1,2.362200001,Female,39
007,car,noise,1,0,3.3155,Female,39
007,car,noise,1,0,1.5462,Female,39
007,car,noise,1,0,2.5282,Female,39
007,car,noise,3,1,3.0551,Female,39
007,car,noise,3,0,3.6763,Female,39
007,car,noise,3,1,2.8063,Female,39
007,face,no_noise,1,1,3.079400001,Female,39
007,face,no_noise,2,1,2.581400001,Female,39
007,face,no_noise,1,1,1.9465,Female,39
007,face,no_noise,3,1,2.755400001,Female,39
007,face,no_noise,3,1,2.4999,Female,39
007,face,no_noise,2,1,1.4392,Female,39
007,face,no_noise,1,1,2.6408,Female,39
007,face,no_noise,3,1,2.0426,Female,39
007,face,no_noise,2,1,3.4045,Female,39
007,face,no_noise,3,1,2.7663,Female,39
007,face,no_noise,2,1,1.4928,Female,39
007,face,no_noise,2,0,3.8656,Female,39
007,face,no_noise,2,1,1.5488,Female,39
007,face,no_noise,2,0,2.909900001,Female,39
007,face,no_noise,2,1,2.0057,Female,39
007,face,no_noise,2,1,2.8943,Female,39
007,face,no_noise,3,0,4.098,Female,39
007,face,no_noise,2,1,2.247200001,Female,39
007,face,no_noise,3,0,2.0986,Female,39
007,face,no_noise,3,1,3.8048,Female,39
007,face,no_noise,1,1,3.5525,Female,39
007,face,no_noise,2,1,1.617,Female,39
007,face,no_noise,2,1,1.6593,Female,39
007,face,no_noise,1,1,2.8832,Female,39
007,face,no_noise,2,0,4.380900001,Female,39
007,face,no_noise,1,1,1.8968,Female,39
007,face,no_noise,2,1,2.037099999,Female,39
007,face,no_noise,1,1,3.505599999,Female,39
007,face,no_noise,1,1,2.179400001,Female,39
007,face,no_noise,3,1,1.4895,Female,39
007,face,noise,2,1,1.7448,Female,39
007,face,noise,3,1,2.7292,Female,39
007,face,noise,3,0,4.2954,Female,39
007,face,noise,1,1,1.4952,Female,39
