pid,param,value,.lower,.upper,.width,.point,.interval
025,v_Slearned_lMTRUE,2.309350555,1.6487870675,3.0778774742499997,0.95,median,qi
025,v_Snovel_lMFALSE,1.263884105,0.4443857712500005,2.0944976942499998,0.95,median,qi
025,v_Snovel_lMTRUE,2.6121637,1.9354947835000003,3.4148335202499998,0.95,median,qi
026,A,2.3333773349999998,0.8820476652500001,3.45159241725,0.95,median,qi
026,B_lRlearned,1.781830115,0.894567513,2.635205902,0.95,median,qi
026,B_lRnovel,2.665821525,1.5350434635,3.67697744425,0.95,median,qi
026,sv_lMTRUE,0.82745201,0.6505783955000001,1.040944268,0.95,median,qi
026,t0,0.21848458999999998,0.07996364950000007,0.412408655,0.95,median,qi
026,v_Slearned_lMFALSE,3.307662535,2.3278331952499998,4.24953667225,0.95,median,qi
026,v_Slearned_lMTRUE,3.28033585,2.3420837934999996,4.177303075749999,0.95,median,qi
026,v_Snovel_lMFALSE,2.254981935,1.32369409275,3.1419024334999994,0.95,median,qi
026,v_Snovel_lMTRUE,4.190510795,3.1695644077500003,5.16230144875,0.95,median,qi
027,A,0.75278429,0.29724677400000005,1.7591451254999997,0.95,median,qi
027,B_lRlearned,1.7966925150000002,1.134454499,2.535662098,0.95,median,qi
027,B_lRnovel,1.6649609550000002,1.0218527175,2.37072363375,0.95,median,qi
027,sv_lMTRUE,1.002687635,0.8162831902500001,1.2278931899999999,0.95,median,qi
027,t0,0.222878305,0.11544300175000001,0.3396265839999999,0.95,median,qi
027,v_Slearned_lMFALSE,2.6235505100000003,1.8056577067500006,3.53999826525,0.95,median,qi
027,v_Slearned_lMTRUE,2.880955035,2.0759351172500002,3.7702466552499994,0.95,median,qi
027,v_Snovel_lMFALSE,2.0178397749999997,1.14003899025,2.91170079225,0.95,median,qi
027,v_Snovel_lMTRUE,3.159429055,2.35088396,4.09504505875,0.95,median,qi
028,A,1.14556824,0.35085709775,2.9474368889999996,0.95,median,qi
028,B_lRlearned,2.6429546850000003,1.6638118410000002,3.55749127075,0.95,median,qi
028,B_lRnovel,2.7062077,1.7000671275,3.58597096975,0.95,median,qi
028,sv_lMTRUE,1.04060168,0.83233527175,1.28225597,0.95,median,qi
028,t0,0.198736165,0.08784342875000001,0.36194959799999993,0.95,median,qi
028,v_Slearned_lMFALSE,3.23310861,2.288747486,4.27309351125,0.95,median,qi
028,v_Slearned_lMTRUE,3.3326650100000004,2.3625918947500004,4.34041238825,0.95,median,qi
028,v_Snovel_lMFALSE,2.282448675,1.2904889172500005,3.280051443,0.95,median,qi
028,v_Snovel_lMTRUE,3.9578907,2.98719296525,5.055940646249999,0.95,median,qi
029,A,2.60647423,1.0735569025000002,3.86255801425,0.95,median,qi
029,B_lRlearned,1.63462517,1.1148609745,2.1186054472499998,0.95,median,qi
029,B_lRnovel,3.604914355,2.56429193525,4.655177336749999,0.95,median,qi
029,sv_lMTRUE,0.886825275,0.68360928175,1.1400563772499999,0.95,median,qi
029,t0,0.12605559,0.060214644750000004,0.24286530424999986,0.95,median,qi
029,v_Slearned_lMFALSE,3.37029599,2.3060245425000003,4.386932907499999,0.95,median,qi
029,v_Slearned_lMTRUE,3.534364975,2.5839768370000002,4.40565731325,0.95,median,qi
029,v_Snovel_lMFALSE,2.7818687100000004,1.8530625270000003,3.637997867,0.95,median,qi
029,v_Snovel_lMTRUE,4.169399345,3.10387490475,5.17956136425,0.95,median,qi
030,A,0.74602418,0.2668725632500001,2.101081128,0.95,median,qi
030,B_lRlearned,1.518368625,0.8759010975000001,2.1881501399999994,0.95,median,qi
030,B_lRnovel,1.764240045,1.0495096887500002,2.51313451425,0.95,median,qi
030,sv_lMTRUE,0.91723811,0.74425959,1.1254024222499999,0.95,median,qi
030,t0,0.202025505,0.09430378325000005,0.33304309,0.95,median,qi
030,v_Slearned_lMFALSE,2.297206945,1.4099596317500007,3.3177135509999998,0.95,median,qi
030,v_Slearned_lMTRUE,2.639724345,1.8264101867500002,3.62422753125,0.95,median,qi
030,v_Snovel_lMFALSE,1.92129062,1.0329320005,2.877205141499999,0.95,median,qi
030,v_Snovel_lMTRUE,2.8833769399999998,2.0253357107500003,3.92407709025,0.95,median,qi
031,A,0.5321430149999999,0.26388994550000006,0.9918871705,0.95,median,qi
031,B_lRlearned,1.09342865,0.6562856305,1.68054806,0.95,median,qi
031,B_lRnovel,1.0300264399999999,0.6173538949999999,1.5841496225,0.95,median,qi
031,sv_lMTRUE,0.7681833600000001,0.6317273805000001,0.9287128727499999,0.95,median,qi
031,t0,0.26559608,0.15813162625000002,0.3584255125,0.95,median,qi
031,v_Slearned_lMFALSE,1.968256645,1.2938430367500002,2.68317607525,0.95,median,qi
031,v_Slearned_lMTRUE,2.19140102,1.54037045025,2.9062552247499998,0.95,median,qi
031,v_Snovel_lMFALSE,1.614806995,0.8329698400000003,2.4154517249999996,0.95,median,qi
031,v_Snovel_lMTRUE,2.4598886699999998,1.8265576010000002,3.1697257137499992,0.95,median,qi
033,A,0.531302955,0.24836088200000006,1.0413217607499998,0.95,median,qi
033,B_lRlearned,1.16103455,0.692449037,1.87205640275,0.95,median,qi
033,B_lRnovel,1.1328859699999998,0.6664570160000002,1.8475048255,0.95,median,qi
033,sv_lMTRUE,0.86990414,0.713768865,1.0523655204999998,0.95,median,qi
033,t0,0.47550633,0.3517760025,0.5673999167499999,0.95,median,qi
033,v_Slearned_lMFALSE,1.9626166600000001,1.1939977837500002,2.8325261674999997,0.95,median,qi
033,v_Slearned_lMTRUE,2.628924755,1.93393497275,3.42697674725,0.95,median,qi
033,v_Snovel_lMFALSE,2.2132544000000003,1.43830693725,3.04457889475,0.95,median,qi
033,v_Snovel_lMTRUE,2.566521925,1.8339983262500001,3.4229636592499997,0.95,median,qi
034,A,2.863166035,0.8548699120000001,4.399785394249999,0.95,median,qi
034,B_lRlearned,2.83580509,1.93175151875,3.7425240972499996,0.95,median,qi
034,B_lRnovel,1.96625673,1.3661254455,2.5126243032499995,0.95,median,qi
